StudentID,CompleteDevMath_16Term3,CompleteDevEnglish_16Term3,Major1_16Term3,Major2_16Term3,Complete1_16Term3,Complete2_16Term3,CompleteCIP1_16Term3,CompleteCIP2_16Term3,TransferIntent_16Term3,DegreeTypeSought_16Term3,TermGPA_16Term3,CumGPA_16Term3
314327,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,3.03,3.48
279968,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,3,2.4
351643,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,3.82,3.81
330015,0,0,26.0101,40.0801,0,0,-2,-2,-1,6,1.13,2.4
307735,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,3.67,2.63
357173,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,3.6,3.64
344073,0,0,26.0101,-1,0,0,-2,-2,-1,6,0.36,2.02
325329,-2,0,42.0101,-1,0,0,-2,-2,-1,6,3.9,3.86
305649,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,2.33,2.53
357842,0,1,13.1202,-1,0,0,-2,-2,-1,6,0,0
348118,0,-2,52.1401,-1,0,0,-2,-2,-1,6,4,3.91
348650,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,2.67,2.67
325196,0,0,43.0199,-1,0,0,-2,-2,-1,6,2.97,2.81
349583,-1,-1,52.0201,-1,0,0,-2,-2,-1,6,3.26,3.06
346716,-2,-2,52.0301,-1,8,0,52.0301,-2,-1,6,4,3.53
343353,0,0,52.0201,-1,0,0,-2,-2,-1,6,2.48,3
348255,-2,-2,27.0101,-1,0,0,-2,-2,-1,6,3.45,3.64
348963,-2,-2,40.0801,-1,0,0,-2,-2,-1,6,3.11,2.92
351139,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,3.42,3.21
348964,1,-2,43.0199,-1,0,0,-2,-2,-1,6,2.77,2.8
342500,0,0,26.0101,-1,0,0,-2,-2,-1,6,2.95,2.84
308063,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,2.59,2.97
328836,0,0,42.0101,-1,0,0,-2,-2,-1,6,3.51,2.6
320437,0,-2,42.0101,-1,0,0,-2,-2,-1,6,1.75,2.26
325187,0,0,52.0201,-1,0,0,-2,-2,-1,6,3.88,3.58
353843,0,-2,23.0101,26.0101,0,0,-2,-2,-1,6,3.78,3.08
341610,-2,-2,45.1001,-1,0,0,-2,-2,-1,6,1.43,1.88
