StudentID,CompleteDevMath_12Term1,CompleteDevEnglish_12Term1,Major1_12Term1,Major2_12Term1,Complete1_12Term1,Complete2_12Term1,CompleteCIP1_12Term1,CompleteCIP2_12Term1,TransferIntent_12Term1,DegreeTypeSought_12Term1,TermGPA_12Term1,CumGPA_12Term1
302176,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.85,3.73
302756,-2,-2,45.0601,-1,0,0,-2,-2,-1,6,3.86,3.8
300304,1,-2,9.0101,-1,0,0,-2,-2,-1,6,2.7,2.19
301067,-2,-2,23.0101,13.1001,0,0,-2,-2,-1,6,4,4
297371,-2,0,0,-1,0,0,-2,-2,-1,6,2.74,2.99
273211,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,3.21,3.31
302772,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,2.72,2.17
280023,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,2.83,2.6
299369,0,1,0,-1,0,0,-2,-2,-1,6,3.8,3.39
299997,0,0,52.0201,-1,0,0,-2,-2,-1,6,0,1.21
299363,-2,-2,23.0101,-1,0,0,-2,-2,-1,6,3.3,2.7
302134,0,0,0,-1,0,0,-2,-2,-1,6,3.38,3.47
301723,-2,-2,52.1401,-1,0,0,-2,-2,-1,6,3.33,3.25
283028,-2,-2,11.0101,-1,0,0,-2,-2,-1,6,1.85,2.63
294970,-2,-2,52.1401,-1,0,0,-2,-2,-1,6,3,3.38
301192,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,3.5,3.26
303346,-2,-2,0,-1,0,0,-2,-2,-1,6,3.85,3.01
305186,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,4,3.77
302328,-2,-2,54.0101,-1,0,0,-2,-2,-1,6,3.86,3.73
300895,0,1,51.0999,-1,0,0,-2,-2,-1,6,3,3.17
297560,-2,-2,52.0801,-1,0,0,-2,-2,-1,6,3.8,3.7
299456,1,1,52.0301,-1,0,0,-2,-2,-1,6,2.6,2.51
297755,-2,0,0,-1,0,0,-2,-2,-1,6,2.53,2.1
297083,1,0,50.0701,-1,0,0,-2,-2,-1,6,1.98,2.51
303435,-2,-2,27.0101,13.1209,0,0,-2,-2,-1,6,3.52,3.26
299668,-2,-2,51,-1,0,0,-2,-2,-1,6,2.67,2.8
301313,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,3.35,3.22
303775,-2,-2,50.0701,13.1209,0,0,-2,-2,-1,6,3.35,3.59
300221,-2,0,40.0801,-1,0,0,-2,-2,-1,6,3.31,3.24
301624,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,2.86,3.29
299713,-2,-2,52.0201,52.1401,0,0,-2,-2,-1,6,3.88,3.81
293485,-2,-2,42.0101,50.0701,0,0,-2,-2,-1,6,3.77,3.58
298859,0,0,23.0101,-1,0,0,-2,-2,-1,6,1.93,1.83
299006,1,0,9.0101,-1,0,0,-2,-2,-1,6,2.23,2.53
304552,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,2.85,2.88
303907,-2,-2,23.0101,-1,0,0,-2,-2,-1,6,3.47,3.19
299408,-2,1,13.1209,-1,0,0,-2,-2,-1,6,3.2,3.07
268673,-2,-2,9.0101,-1,0,0,-2,-2,-1,6,3.35,3.46
301562,0,0,9.0101,-1,0,0,-2,-2,-1,6,2.58,3.15
