StudentID,CompleteDevMath_15Term6,CompleteDevEnglish_15Term6,Major1_15Term6,Major2_15Term6,Complete1_15Term6,Complete2_15Term6,CompleteCIP1_15Term6,CompleteCIP2_15Term6,TransferIntent_15Term6,DegreeTypeSought_15Term6,TermGPA_15Term6,CumGPA_15Term6
300895,0,0,51.0999,-1,0,0,-2,-2,-1,6,3,2.88
303428,-2,-2,52.0301,-1,8,0,52.0301,-2,-1,6,4,2.93
303599,-2,-2,52.0201,52.1401,0,0,-2,-2,-1,6,3.5,2.62
301078,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.7,3.1
301309,0,0,26.0101,-1,0,0,-2,-2,-1,6,2.22,2.41
301106,0,0,42.0101,-1,0,0,-2,-2,-1,6,4,3.19
302354,0,0,42.0101,-1,0,0,-2,-2,-1,6,2,3.05
298985,0,0,43.0399,-1,8,0,43.0399,-2,-1,6,3,3.05
301530,-2,0,43.0399,-1,0,0,-2,-2,-1,6,4,2.98
301597,0,0,26.0101,-1,0,0,-2,-2,-1,6,2.3,3.12
300953,0,-2,26.0101,-1,0,0,-2,-2,-1,6,2.7,2.46
298215,0,-2,26.0101,-1,0,0,-2,-2,-1,6,0,2.86
297205,0,0,51,-1,0,0,-2,-2,-1,6,4,2.86
298860,0,0,52.0201,-1,0,0,-2,-2,-1,6,2,2.32
298889,0,-2,45.1101,-1,0,0,-2,-2,-1,6,3,2.4
300835,0,0,26.0101,-1,0,0,-2,-2,-1,6,3,2.9
300778,0,0,52.0301,-1,0,0,-2,-2,-1,6,3,3.03
299815,0,0,43.0199,-1,0,0,-2,-2,-1,6,3.7,2.8
302555,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.3,2.9
304247,0,-2,52.0201,-1,8,0,52.0201,-2,-1,6,3.5,2.9
81733,-2,-2,43.0199,-1,8,0,43.0199,-2,-1,6,2.7,3.22
298387,-2,0,24.0102,-1,0,0,-2,-2,-1,6,3.3,2.17
66888,0,0,42.0101,-1,0,0,-2,-2,-1,6,2.7,2.69
26367,0,0,52.0201,-1,0,0,-2,-2,-1,6,3.7,2.82
301300,-2,0,26.0101,-1,0,0,-2,-2,-1,6,3,2.9
297640,0,0,50.0701,-1,0,0,-2,-2,-1,6,0,2.59
301170,0,0,52.0201,-1,0,0,-2,-2,-1,6,2.65,2.69
